"ID","Severity","Area","Finding","Evidence","Impact","Smallest safe repair","Phase"
"AX-001","HIGH","Security","Legacy cloud snapshot endpoints are not authenticated","web/src/services/syncClient.ts:55-103; api/data.ts; api/user.ts:40-48","Anyone who knows/obtains a user UUID or name can use legacy load/save flows; PIN sessions are not attached to snapshot requests.","Disable cloud controls and legacy name login in public builds until every data endpoint requires a verified session and ownership check.","Before closed Alpha"
"AX-002","HIGH","Privacy","Identity-specific public resource links are compiled into seed/product code","web/src/lib/seed.ts:277-287; web/src/lib/blueprints.ts:81","Shared Drive/Notion/Mega URLs and personal labels become visible to every deployed user and repository reader.","Move personal defaults to private local fixtures; ship only reviewed public resources.","Before friend Alpha"
"AX-003","HIGH","Build","web/package.json is not standalone despite web README/workflows implying web-local install","web/package.json devDependencies; web/tsconfig.json:18; dailyWordWords.test.ts:1; themeTokens.test.ts:1","A clean web-only npm ci cannot resolve node:crypto/node:fs types; typecheck/build exit 1.","Add @types/node to web devDependencies or exclude tests from production build via separate tsconfigs; document root npm ci as authoritative.","Before Alpha CI"
"AX-004","HIGH","Question integrity","CSV/JSON explicit-letter-with-drift policy contradicts pasted-text Q1 policy","web/src/lib/questionImport.ts:207-239 vs questionParse.ts:579-600","Structured import drops an explicit valid letter when trailing text drifts, while paste keeps candidate + review; users get inconsistent repair behavior.","Return a resolution result with candidate/evidence/status; preserve valid explicit letter as candidate with needsReview unless exact conflicting option text proves contradiction.","Q2b/P0"
"AX-005","MEDIUM","Architecture","Most product routes are eagerly imported into the app shell","web/src/App.tsx:24-46,58-89","819,498-byte app JS (234,486 gzip) includes nearly every route; slower first load and broad regression coupling.","Lazy-load genuinely heavy route families (Question Bank, Course Tracker, Anki, boards) at stable boundaries; keep shared shell eager.","P1 after personal Alpha"
"AX-006","MEDIUM","Maintainability","Core modules have mixed responsibilities and exceptional size","web/src/lib/store.ts (2241 lines); DashboardPage.tsx (1636); CourseTrackerPage.tsx (1438); questionParse.ts (1369)","Changes have wide blast radius and make targeted ownership/testing harder.","Extract domain slices/adapters without schema rewrites; preserve action contracts.","Wave 6 consolidation"
"AX-007","MEDIUM","Offline/update","Service worker caches every same-origin GET without response validation or bounding","web/public/sw.js:18-30","Dynamic/API GETs can be cached indefinitely under one release cache and storage pressure is unbounded.","Cache only static hashed assets/core, require response.ok/basic, cap runtime entries, never cache /api.","Before public Alpha"
"AX-008","MEDIUM","Docs/branding","Public URLs and repository identity remain Noctyrium","origin remote; web/src/lib/brand.ts:19; DashboardPage.tsx:60; root package metadata","User-visible hosted links and repository instructions can point at stale legacy identity.","Decide repository rename/redirect and replace hosted URL from one reviewed source of truth.","Before public Alpha"
"AX-009","MEDIUM","Release","Release/version declarations are manually duplicated","brand.ts:58-61; public/version.json; public/sw.js:3; api/health.ts","A missed bump can leave stale cache/update messages.","Generate all release metadata from one build-time source and add a verification gate.","Before public Alpha"
"AX-010","MEDIUM","Accessibility","Automated route tests do not include an axe/WCAG ruleset","package manifests and E2E suite","Semantic/focus tests are good, but contrast/name/state regressions lack systematic scan coverage.","Add axe-core as a dev dependency and scan representative populated states in both themes.","Before closed Alpha"
"AX-011","LOW","Repository debt","Legacy Swift/native assets, scripts, RTF, and three blueprint PDFs remain tracked","Package.swift; Sources/Noctyrium; Resources; scripts/legacy; Quote Librabry v1.txt.rtf; blue-prints","Harmless to runtime but obscures product boundary; MCAT PDF alone is ~8.3 MB.","Jafar decision: archive/tag or retain only source assets with license/provenance.","Cleanup decision"
"AX-012","LOW","UX truth","Doctordle, leaderboards, and application checker are routable but incomplete","nav.ts:49,61,68,81-93","Direct links open placeholders/under-construction surfaces.","Keep badges and exclude from Alpha capability claims; optionally hide from default navigation.","Before friend Alpha"
"AX-013","LOW","Storage","IndexedDB fallback can duplicate a full workspace into two localStorage keys","web/src/lib/localVault.ts:147-153","When IndexedDB is unavailable, quota pressure is doubled and large workspaces may fail writes.","Write one canonical fallback key, surface quota failures, test large payload behavior.","P1"
"AX-014","LOW","Build noise","Node 26 emits localStorage experimental warnings during tests","unit-test log","No product regression; obscures signal in CI.","Use supported Node LTS and explicit jsdom/fakes; pin CI runtime.","CI hygiene"
"AX-015","INFO","Planning","PARSER-SPEC-ORIGINAL.md is absent","repository-wide tracked search","Wave 6A Step 0 cannot compare historical wording/checksum; current parser remains testable and is not invalidated.","Obtain/archive source spec or formally waive Step 0 and record provenance gap.","Wave 6A decision"
