"Item","Source","Status","Prerequisites","Risk","Schema impact","Phase","Likely files","Acceptance criteria"
"Q2b persistent highlights/notes/images","EXPERIENCE-REFINEMENT-WAVE.md Q2","deferred","additive question annotation schema; blob store","high","v32 fields + IndexedDB blob store","Q2b","types.ts; store.ts; localVault.ts; backup.ts; ExamRunner.tsx","persist across reload/backup; orphan cleanup; accessible annotation controls"
"Question tags/filtering/easier sets/preferences","EXPERIENCE-REFINEMENT-WAVE.md Q2/Q3","deferred","Q2 stable","medium","question/set metadata","Q2b-Q3","questions.ts; BankBrowser.tsx; BlockBuilder.tsx","keyboard filters; migration-safe; deterministic set membership"
"CSV/JSON answer-policy unification","Q1 carry-forward","partial","resolution-result contract","high","diagnostics only","P0 next","questionImport.ts; questionParse.ts; tests","valid explicit candidate preserved; true contradiction unset; user correction wins"
"Structured explanations/distractor rationales/AI disclaimer","UNIVERSAL-QUESTION-IMPORT-ENGINE.md","partial","explanation schema and provenance","high","question explanation fields","Q3/Beta","questionExplanation.ts; types.ts; ImportPanel.tsx","source vs generated labeled; no invented rationale silently trusted"
"Tutor Mode/exam simulation/Examplify start screen","EXPERIENCE-REFINEMENT-WAVE.md Q3","partial","Q2 stable + test preferences","medium","quiz preferences/session","Q3","ExamRunner.tsx; quiz.ts; BlockBuilder.tsx","mode parity, timer recovery, keyboard, disclosure, persistence tests"
"Source binary retention/OCR/slides/images/tables/template learning/semantic enrichment","UNIVERSAL-QUESTION-IMPORT-ENGINE.md","documentation-only","blob lifecycle, OCR engine, provenance","high","new blob/parser-run stores","Beta/Later","extractText.ts; questionParse.ts; new adapters/workers","bounded storage; deletion; page-level evidence; corpus gates"
"Course schedule/module PDF import","COURSE-CENTRAL-ARCHITECTURE.md","documentation-only","normalized event model/import review","high","courses/events/source docs","Wave 6B","CourseTrackerPage.tsx; tracker.ts; extractText.ts","review before save; duplicate-safe; timezone explicit"
"SGU cohorts/templates/curriculum graph/tool subscriptions/pass counts","COURSE-CENTRAL-ARCHITECTURE.md","documentation-only","institution template schema","high","curriculum graph","Wave 6C/Beta","tracks.ts; tracker.ts; new course adapters","template versioning; overlay ownership; user corrections survive"
"Sakai/Canvas/Elentra/adapters/announcements/community submission","COURSE-CENTRAL-ARCHITECTURE.md","documentation-only","OAuth/institution approval/moderation","high","connector credentials + normalized records","Beta/Later","new connector services/api","least privilege; revocation; provenance; moderation"
"Readiness/sleep/food/wellbeing/day-at-a-glance/monthly progress","WAVE-6-CONSOLIDATION.md","partial","mental-health boundary and opt-in","medium","daily readiness inputs","Alpha/Beta","dailySuccess.ts; dayAtAGlance.ts; ReportsPage.tsx","optional, non-diagnostic, explainable scoring, deletion/export"
"Timed intention + 20:30 closeout + check-in/habit sync","WAVE-6-PLAN.md; reminder lifecycle","partial","unified reminder ledger","medium","reminder prefs/contribution rows","Alpha","dailyLoopReminders.ts; targetContributions.ts","once-per-day delivery; snooze; timezone/reload tests"
"Journal themes/contrast/fonts/notebooks/search/bookmarks/reflection","JOURNAL-NOTEBOOK-ARCHITECTURE.md","partial","notebook indexing/theme contrast","medium","notebook metadata/search index","Alpha/Beta","JournalPage.tsx; journalNotebook.ts; theme.ts","autosave-safe; WCAG contrast; backup/merge semantics"
"Journal Cinematic/desk/notebook physics/sound/haptics","WAVE-6-CONSOLIDATION.md","design-only","foundation + reduced motion","medium","preferences only","V2","JournalPage.tsx; motion.ts; new assets","optional; instant reduced-motion path; no writing loss"
"Dashboard E3/E8/widgets/empty states/skeletons/route performance","EXPERIENCE-REFINEMENT-WAVE.md; DASHBOARD-WIDGET-ARCHITECTURE.md","partial","catalog stabilization","medium","widget preferences","Alpha/P1","DashboardPage.tsx; dashboardWidgets.ts; App.tsx","meaningful widgets; keyboard reorder; responsive; no fake loading"
"Update-safe preservation/optional accounts/Google/sync/recovery/email/encryption","WAVE-6-CONSOLIDATION.md","scaffolded/unsafe cloud now","authenticated ownership + threat model","critical","account IDs, encrypted sync metadata","Beta","api/*; syncClient.ts; AccountSyncPanel.tsx","OAuth/session ownership; recovery; migration; local-first conflict policy; pen test"
"Repository rename/stale URLs/legacy cleanup/GitHub cleanup/deploy checklist","README/ALPHA-RELEASE/roadmaps","open decision","Jafar approval","medium","none","Before public Alpha","brand.ts; README; remote; legacy paths","redirects retained; URLs verified; private links removed; clean clone gate"
